	S	Q	M	B	D	P	E	W	I	L	G	FF	F	R	U	V	T	AA	O	A	DD	Z	BB	C	CC	EE	Y	X	H	J	K	N
Full Name	50	50	50	70	60	70	50	70	70	70	50	70	60	70	50	50	58.71794872	60	70	70	70	58.71794872	50	70	68.71794872	68.71794872	50	68.71794872	60	70	68.71794872	50
Full Name	50	70	70	50	60	50	70	50	50	50	70	50	60	50	70	70	58.71794872	60	50	50	50	58.71794872	70	50	48.71794872	48.71794872	70	48.71794872	60	50	48.71794872	70
Full Name	50	60	60	50	70	50	60	50	50	50	60	50	70	50	60	60	70	70	50	50	50	70	60	50	50	50	60	50	70	50	50	60
Full Name	50	47.36842105	50	67.36842105	57.36842105	70	50	70	67.36842105	70	47.36842105	70	60	70	47.36842105	47.36842105	56.15384615	57.36842105	70	70	70	56.15384615	50	67.36842105	66.15384615	66.15384615	50	66.15384615	60	70	66.15384615	47.36842105
Full Name	34.375	25	25	25	45	25	50	25	25	25	25	25	70	25	25	25	44.35897436	45	25	25	50	44.35897436	50	25	24.35897436	24.35897436	50	24.35897436	45	50	24.35897436	25
Full Name	46.875	39.73684211	54.09090909	19.73684211	19.73684211	20.83333333	70	25.86206897	19.73684211	20.83333333	39.73684211	20.83333333	50	34.09090909	39.73684211	39.73684211	19.23076923	19.73684211	20.83333333	20.83333333	50	19.23076923	70	19.73684211	19.23076923	19.23076923	70	19.23076923	34.09090909	50	19.23076923	39.73684211
Full Name	34.375	23.68421053	25	43.68421053	23.68421053	45	50	45	43.68421053	45	23.68421053	45	50	45	23.68421053	23.68421053	23.07692308	23.68421053	45	45	70	23.07692308	50	43.68421053	43.07692308	43.07692308	50	43.07692308	25	70	43.07692308	23.68421053
Full Name	34.375	25	25	45	35	45	50	45	45	45	25	45	60	45	25	25	34.35897436	35	45	45	70	34.35897436	50	45	44.35897436	44.35897436	50	44.35897436	35	70	44.35897436	25
Full Name	50	50	50	70	60	70	50	70	70	70	50	70	60	70	50	50	58.71794872	60	70	70	70	58.71794872	50	70	68.71794872	68.71794872	50	68.71794872	60	70	68.71794872	50
Full Name	34.375	18.7593985	31	34.47368421	14.47368421	35.27777778	50	43.96551724	34.47368421	35.27777778	21.97368421	35.27777778	50	45	14.47368421	14.47368421	14.1025641	14.47368421	35.27777778	35.27777778	70	17.8525641	50	34.47368421	37.8525641	38.38827839	50	34.1025641	25	70	34.1025641	18.7593985
Full Name	34.375	29.28571429	31	45	35	45	50	50	45	45	32.5	45	60	45	25	25	34.35897436	35	45	45	70	38.10897436	50	45	48.10897436	48.64468864	50	44.35897436	35	70	44.35897436	29.28571429
Full Name	50	54.28571429	56	70	65	70	50	75	70	70	57.5	70	60	70	50	50	58.71794872	60	70	70	73	62.46794872	50	70	72.46794872	73.003663	60	68.71794872	60	74.28571429	68.71794872	54.28571429
Full Name	28.125	27.96992481	31	43.68421053	23.68421053	45	40.90909091	50	43.68421053	45	31.18421053	45	50	45	23.68421053	23.68421053	23.07692308	23.68421053	45	45	60.90909091	26.82692308	50	43.68421053	46.82692308	47.36263736	40.90909091	43.07692308	25	60.90909091	43.07692308	27.96992481
Full Name	50	50	50	70	60	70	50	70	70	70	50	70	60	70	50	50	58.71794872	60	70	70	70	58.71794872	50	70	68.71794872	68.71794872	50	68.71794872	60	70	68.71794872	50
Full Name	50	50	50	70	60	70	50	70	70	70	50	70	60	70	50	50	58.71794872	60	70	70	70	58.71794872	50	70	68.71794872	68.71794872	50	68.71794872	60	70	68.71794872	50
Full Name	50	47.36842105	50	67.36842105	57.36842105	70	50	70	67.36842105	70	47.36842105	70	62	70	47.36842105	47.36842105	56.15384615	57.36842105	70	70	70	56.15384615	50	67.36842105	66.15384615	66.15384615	50	66.15384615	60	70	66.15384615	47.36842105
Full Name	28.125	34.47368421	45	14.47368421	14.47368421	15.27777778	60.90909091	18.96551724	14.47368421	15.27777778	34.47368421	15.27777778	50	25	34.47368421	34.47368421	14.1025641	14.47368421	15.27777778	15.27777778	40.90909091	14.1025641	70	14.47368421	14.1025641	14.1025641	60.90909091	14.1025641	25	40.90909091	14.1025641	34.47368421
Full Name	50	48.94736842	70	28.94736842	38.94736842	30.55555556	70	37.93103448	28.94736842	30.55555556	48.94736842	30.55555556	60	50	48.94736842	48.94736842	38.20512821	38.94736842	30.55555556	30.55555556	50	38.20512821	70	28.94736842	28.20512821	28.20512821	70	28.20512821	60	50	28.20512821	48.94736842
Full Name	34.375	14.47368421	25	34.47368421	14.47368421	35.27777778	50	38.96551724	34.47368421	35.27777778	14.47368421	35.27777778	50	45	14.47368421	14.47368421	14.1025641	14.47368421	35.27777778	35.27777778	70	14.1025641	50	34.47368421	34.1025641	34.1025641	50	34.1025641	25	70	34.1025641	14.47368421
Full Name	50	50	50	60	70	60	50	60	60	60	50	60	70	60	50	50	68.71794872	70	60	60	60	68.71794872	50	60	58.71794872	58.71794872	50	58.71794872	70	60	58.71794872	50
Full Name	50	47.36842105	50	67.36842105	57.36842105	70	50	70	67.36842105	70	47.36842105	70	60	70	47.36842105	47.36842105	56.15384615	57.36842105	70	70	70	56.15384615	50	67.36842105	66.15384615	66.15384615	50	66.15384615	60	70	66.15384615	47.36842105
Full Name	40.625	41.39097744	55.54545455	17.10526316	17.10526316	18.05555556	70	27.4137931	17.10526316	18.05555556	44.60526316	18.05555556	50	29.54545455	37.10526316	37.10526316	16.66666667	17.10526316	18.05555556	18.05555556	50	20.41666667	70	17.10526316	20.41666667	20.95238095	70	16.66666667	29.54545455	50	16.66666667	41.39097744
Full Name	34.375	18.7593985	31	34.47368421	14.47368421	35.27777778	50	43.96551724	34.47368421	35.27777778	21.97368421	35.27777778	50	45	14.47368421	14.47368421	14.1025641	19.47368421	35.27777778	35.27777778	70	17.8525641	50	34.47368421	37.8525641	38.38827839	50	34.1025641	25	70	34.1025641	18.7593985
Full Name	28.125	11.84210526	20.45454545	31.84210526	21.84210526	32.5	40.90909091	35.51724138	31.84210526	32.5	11.84210526	32.5	60	40.45454545	11.84210526	11.84210526	21.53846154	21.84210526	32.5	32.5	60.90909091	21.53846154	50	31.84210526	31.53846154	31.53846154	40.90909091	31.53846154	30.45454545	60.90909091	31.53846154	11.84210526
Full Name	50	54.28571429	56	60	70	60	50	65	60	60	57.5	60	70	60	50	50	68.71794872	70	60	60	60	72.46794872	50	60	62.46794872	63.003663	50	58.71794872	70	60	58.71794872	54.28571429
Full Name	34.375	25	25	45	35	45	50	45	45	45	25	45	60	45	25	25	35	35	45	45	70	35	50	45	45	45	50	45	35	70	45	25
Full Name	50	28.94736842	50	38.94736842	48.94736842	40.55555556	50	47.93103448	38.94736842	40.55555556	28.94736842	40.55555556	70	60	28.94736842	28.94736842	48.20512821	48.94736842	40.55555556	40.55555556	60	48.20512821	50	38.94736842	38.20512821	38.20512821	50	38.20512821	70	60	38.20512821	28.94736842
Full Name	50	47.36842105	50	67.36842105	57.36842105	70	50	70	67.36842105	70	47.36842105	70	60	70	47.36842105	47.36842105	56.15384615	57.36842105	70	70	70	56.15384615	50	67.36842105	66.15384615	66.15384615	50	66.15384615	60	70	66.15384615	47.36842105
Full Name	46.875	25	34.09090909	45	25	45	50	45.86206897	45	45	25	45	50	54.09090909	25	25	25	25	45	45	70	25	50	45	45	45	50	45	34.09090909	70	45	25
Full Name	50	50	50	70	50	70	50	70	70	70	50	70	50	70	50	50	50	50	70	70	70	50	50	70	70	70	50	70	50	70	70	50
Full Name	50	50	50	70	60	70	50	70	70	70	50	70	60	70	50	50	58.71794872	60	70	70	70	58.71794872	50	70	68.71794872	68.71794872	50	68.71794872	60	70	68.71794872	50
Full Name	28.125	11.84210526	20.45454545	31.84210526	21.84210526	32.5	40.90909091	35.51724138	31.84210526	32.5	11.84210526	32.5	60	40.45454545	11.84210526	11.84210526	21.53846154	21.84210526	32.5	32.5	60.90909091	21.53846154	50	31.84210526	31.53846154	31.53846154	40.90909091	31.53846154	30.45454545	60.90909091	31.53846154	16.12781955
Full Name	50	50	50	50	70	50	50	50	50	50	50	50	70	50	50	50	70	70	50	50	50	70	50	50	50	50	50	50	70	50	50	50
Full Name	50	74.28571429	76	60	50	60	70	65	60	60	77.5	60	50	60	70	70	50	50	60	60	60	53.75	70	60	63.75	64.28571429	70	60	50	60	60	74.28571429
Full Name	50	50	50	70	60	70	50	70	70	70	50	70	60	70	50	50	58.71794872	60	70	70	70	58.71794872	50	70	68.71794872	68.71794872	50	68.71794872	60	70	68.71794872	50
Full Name	28.125	16.12781955	26.45454545	31.84210526	11.84210526	32.5	40.90909091	40.51724138	31.84210526	32.5	19.34210526	32.5	50	40.45454545	11.84210526	11.84210526	11.53846154	11.84210526	32.5	32.5	60.90909091	15.28846154	50	31.84210526	35.28846154	35.82417582	40.90909091	31.53846154	20.45454545	60.90909091	31.53846154	16.12781955
Full Name	34.375	14.47368421	25	34.47368421	14.47368421	35.27777778	50	38.96551724	34.47368421	35.27777778	14.47368421	35.27777778	50	45	14.47368421	14.47368421	14.1025641	14.47368421	35.27777778	35.27777778	70	14.1025641	50	34.47368421	34.1025641	34.1025641	50	34.1025641	25	70	34.1025641	14.47368421
Full Name	50	47.36842105	50	67.36842105	57.36842105	70	50	70	67.36842105	70	47.36842105	70	60	70	47.36842105	47.36842105	56.15384615	57.36842105	70	70	70	56.15384615	50	67.36842105	66.15384615	66.15384615	50	66.15384615	60	70	66.15384615	47.36842105
Full Name	46.875	27.96992481	40.09090909	43.68421053	23.68421053	45	50	50.86206897	43.68421053	45	31.18421053	45	50	54.09090909	23.68421053	23.68421053	23.07692308	23.68421053	45	45	70	26.82692308	50	43.68421053	46.82692308	47.36263736	50	43.07692308	34.09090909	70	43.07692308	27.96992481
Full Name	28.125	16.12781955	26.45454545	31.84210526	21.84210526	32.5	40.90909091	40.51724138	31.84210526	32.5	19.34210526	32.5	60	40.45454545	11.84210526	11.84210526	21.53846154	21.84210526	32.5	32.5	60.90909091	25.28846154	50	31.84210526	35.28846154	35.82417582	40.90909091	31.53846154	30.45454545	60.90909091	31.53846154	16.12781955
Full Name	34.375	18.7593985	31	34.47368421	14.47368421	35.27777778	50	43.96551724	34.47368421	35.27777778	21.97368421	35.27777778	50	45	14.47368421	14.47368421	14.1025641	14.47368421	35.27777778	35.27777778	70	17.8525641	50	34.47368421	37.8525641	38.38827839	50	34.1025641	25	70	34.1025641	18.7593985
Full Name	50	50	50	50	70	50	50	50	50	50	50	50	70	50	50	50	68.71794872	70	50	50	50	68.71794872	50	50	48.71794872	48.71794872	50	48.71794872	70	50	48.71794872	50
Full Name	28.125	47.96992481	51	33.68421053	23.68421053	35	60.90909091	40	33.68421053	35	51.18421053	35	50	35	43.68421053	43.68421053	23.07692308	23.68421053	35	35	50.90909091	26.82692308	70	33.68421053	36.82692308	37.36263736	60.90909091	33.07692308	25	50.90909091	33.07692308	47.96992481
Full Name	46.875	25	34.09090909	45	25	45	50	45.86206897	45	45	25	45	50	54.09090909	25	25	25	25	45	45	70	25	50	45	45	45	50	45	34.09090909	70	45	25
Full Name	50	50	50	60	70	60	50	60	60	60	50	60	70	60	50	50	68.71794872	70	60	60	60	68.71794872	50	60	58.71794872	58.71794872	50	58.71794872	70	60	58.71794872	50
Full Name	50	50	50	70	60	70	50	70	70	70	50	70	60	70	50	50	60	60	70	70	70	60	50	70	70	70	50	70	60	70	70	50
Full Name	40.625	27.96992481	29.54545455	43.68421053	23.68421053	50	50	45	43.68421053	45	31.18421053	45	50	49.54545455	23.68421053	23.68421053	23.07692308	23.68421053	45	45	70	26.82692308	50	43.68421053	43.07692308	43.07692308	50	43.07692308	29.54545455	74.28571429	43.07692308	23.68421053
Full Name	50	74.28571429	76	50	50	50	70	55	50	50	77.5	50	50	50	70	70	50	50	50	50	50	53.75	70	50	53.75	54.28571429	70	50	50	50	50	74.28571429
Full Name	50	54.28571429	56	70	50	70	50	75	70	70	57.5	70	50	70	50	50	50	50	70	70	70	53.75	50	70	73.75	74.28571429	50	70	50	70	70	54.28571429
Full Name	50	58.57142857	56	70	55	75	50	75	70	74.28571429	57.5	73	52	70	55	50	48.71794872	50	70	70	73	52.46794872	50	70	72.46794872	73.003663	57.5	68.71794872	50	74.28571429	68.71794872	54.28571429
Full Name	50	28.94736842	50	48.94736842	28.94736842	50.55555556	50	57.93103448	48.94736842	50.55555556	28.94736842	50.55555556	50	70	28.94736842	28.94736842	28.20512821	28.94736842	50.55555556	50.55555556	70	28.20512821	50	48.94736842	48.20512821	48.20512821	50	48.20512821	50	70	48.20512821	28.94736842
Full Name	34.375	28.7593985	41	34.47368421	14.47368421	35.27777778	60	43.96551724	34.47368421	35.27777778	31.97368421	35.27777778	50	45	24.47368421	24.47368421	14.1025641	14.47368421	35.27777778	35.27777778	70	17.8525641	60	34.47368421	37.8525641	38.38827839	60	34.1025641	25	70	34.1025641	28.7593985
Full Name	50	70	70	50	50	50	70	50	50	50	70	50	50	50	70	70	48.71794872	50	50	50	50	48.71794872	70	50	48.71794872	48.71794872	70	48.71794872	50	50	48.71794872	70
Full Name	50	48.94736842	70	28.94736842	38.94736842	30.55555556	70	37.93103448	28.94736842	30.55555556	48.94736842	30.55555556	60	50	48.94736842	48.94736842	38.20512821	38.94736842	30.55555556	30.55555556	50	38.20512821	70	28.94736842	28.20512821	28.20512821	70	28.20512821	60	50	28.20512821	48.94736842
Full Name	34.375	25	25	35	45	35	50	35	35	35	25	35	70	35	25	25	44.35897436	45	35	35	60	44.35897436	50	35	34.35897436	34.35897436	50	34.35897436	45	60	34.35897436	25
Full Name	28.125	25	25	45	25	45	40.90909091	45	45	45	25	45	50	45	25	25	25	25	45	45	60.90909091	25	50	45	45	45	40.90909091	45	25	60.90909091	45	25
Full Name	34.375	25	25	45	35	45	50	45	45	45	25	45	60	45	25	25	35	35	45	45	70	35	50	45	45	45	50	45	35	70	45	25
